1;1;2013-05-29;25.3;
0.6;19;0.53808;0.543380524;0.53808
1.4;29;0.82128;0.829370273;0.82128
2.9;40.5;1.14696;1.158258485;1.14696
3.4;44;1.24608;1.258354897;1.24608
4.1;48;1.35936;1.372750797;1.35936
